Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10534604,"नरेश Naresh K","2025-04-08 07:32:37",0.82183,1,nakkaggle
2,10584718,Jaso1024,"2025-04-09 02:41:02",0.82090,2,jaso1024
3,13282354,niub_hihi,"2025-02-17 04:27:29",0.82090,4,"andywang05,niubhaihai"
4,12880848,"Ömer Tanır","2025-02-28 07:20:41",0.82066,1,tnr1337
5,13610512,叫哥鴿boolean,"2025-04-04 16:54:34",0.82066,6,qwertasdfga
6,13110177,"Abhigyan #2","2025-04-09 04:26:16",0.82066,11,abhigyanps
7,11736263,Variable_Visionaries,"2025-04-16 07:35:09",0.82043,1,"maxbrenner1,mbalikunene,morisqed,pragnasingh"
8,10894538,"Serhii Kharchuk","2025-04-02 21:12:46",0.82020,4,serhiikharchuk
9,12288688,"Khalil Alaei","2025-04-05 02:03:34",0.82020,1,khalilalaei
10,13338746,"ZY Wlinjia","2025-03-05 02:40:00",0.81926,11,zywlinjia
11,13174041,"Márcio Santos","2025-03-04 21:45:29",0.81926,45,mos3santos
12,11730373,"Yonathan Levy","2025-03-02 18:37:06",0.81903,1,yonathanlevy
13,13526055,doridori,"2025-03-26 11:34:53",0.81903,32,doridori1017
14,13362340,"Dominik Lindner","2025-02-23 23:19:59",0.81669,20,dominiklindner
15,13012484,2024e_Sophia,"2025-03-28 03:30:35",0.81669,3,chillinqz
16,13012483,2024E_Jasmine,"2025-04-07 07:38:17",0.81669,12,changjasmine
17,13012497,qwer,"2025-04-06 06:34:08",0.81669,13,hbruui
18,13420086,wdqkld,"2025-03-01 12:15:29",0.81646,5,wdqkld
19,11339063,tobi666,"2025-04-01 17:03:32",0.81599,7,tobi666
20,11817833,"Zeina Shreif","2025-03-08 15:58:28",0.81388,46,zeinashreif
21,13657152,Florissss,"2025-04-12 15:15:06",0.81388,10,florissss
22,11381097,PiGenesis75,"2025-02-21 16:42:49",0.81201,11,pigenesis75
23,13422575,"Minho Lee","2025-03-01 17:39:54",0.81201,1,minholee0
24,13351680,tesorieror,"2025-03-24 00:06:10",0.81201,42,tesorieror
25,13583151,"Kajal yadav","2025-03-31 16:51:09",0.81201,2,kajuu17
