Model,n_estimators,max_depth,n_neighbors,train_score,subm_score
GradientBoostingClassifier,100,2,-1,0.8074,0.79611
GradientBoostingClassifier,100,3,-1,0.8254,0.80102
GradientBoostingClassifier,100,4,-1,0.8486,0.80523
GradientBoostingClassifier,100,5,-1,0.8779,0.80617
GradientBoostingClassifier,100,6,-1,0.9077,0.80523
GradientBoostingClassifier,50,5,-1,,
GradientBoostingClassifier,75,5,-1,,
GradientBoostingClassifier,125,5,-1,,
GradientBoostingClassifier,150,5,-1,,
RandomForestClassifier,300,7,-1,,
RandomForestClassifier,1000,10,-1,,
RandomForestClassifier,300,10,-1,,
RandomForestClassifier,300,5,-1,,
RandomForestClassifier,1000,5,-1,,
RandomForestClassifier,100,5,-1,,
RandomForestClassifier,300,3,-1,,
XGBClassifier,100,2,-1,0.8159,0.80219
XGBClassifier,150,2,-1,0.821,0.80336
XGBClassifier,200,2,-1,0.83,0.80336
XGBClassifier,300,2,-1,0.8427,0.80149
XGBClassifier,100,3,-1,0.8461,0.79915
