Feats_subset,Model,n_estimators,max_depth,n_neighbors,train_score,subm_score,
SE,GradientBoostingClassifier,100,2,-1,0.8066,0.79962,
SE,GradientBoostingClassifier,200,2,-1,0.8133,0.80032,
SE,XGBClassifier,150,2,-1,0.8171,0.79228,
,,,,,,,
,,,,,,,
CE,GradientBoostingClassifier,100,2,-1,0.7945,0.78512,
CE,GradientBoostingClassifier,200,2,-1,0.8006,0.7884,
CE,GradientBoostingClassifier,300,2,-1,0.8057,0.79027,
CE,GradientBoostingClassifier,500,2,-1,0.811,0.79307,
CE,GradientBoostingClassifier,1000,2,-1,0.8283,0.79237,
CE,XGBClassifier,200,2,-1,0.8139,0.7898,
CE,RandomForestClassifier,500,8,-1,0.8104,0.7884,
CE,RandomForestClassifier,200,8,-1,0.81,0.78793,
CE,GradientBoostingClassifier,100,3,-1,0.8063,0.7877,
CE,GradientBoostingClassifier,200,3,-1,0.8193,0.79074,
CE,GradientBoostingClassifier,300,3,-1,0.8317,,SUBMIT
